"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"575",5,5,50,10,18,10,8,15,15,5,15,10,3,5,5,7,5,5,5,3,5,10,15,25,10,5,15,9,16,7,20,14,35,10,8,21
"576",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,15,10,10,10,10,20,20,25,30,17,20,10,10,10,10,10,10,15,25,20,5,5,10,7
"577",20,20,26,18,3,15,10,5,20,6,15,25,5,5,15,12,18,18,16,10,24,8,8,12,26,NA,20,15,8,10,15,10,25,20,7,20
"578",15,25,10,NA,12,25,12,30,20,15,10,25,25,10,20,10,8,5,10,15,25,10,27,30,30,23,17,17,12,7,4,10,5,15,10,17
"579",25,10,20,25,30,20,10,15,10,15,5,25,12,5,15,5,5,10,10,10,25,15,15,10,22,20,15,21,30,10,15,10,12,21,13,20
"580",5,2,25,12,10,15,7,10,20,15,16,30,15,10,10,15,20,10,20,10,10,8,0,15,25,15,16,12,12,10,17,12,15,21,10,5
"581",10,10,10,20,8,25,5,10,5,10,8,8,10,0,15,10,0,15,35,7,10,15,0,10,24,12,10,5,5,2,3,10,9,5,34,14
"582",10,15,15,11,41,18,15,16,16,14,10,21,15,14,13,6,10,10,11,5,31,15,10,10,25,14,12,25,26,5,5,12,13,21,14,21
"583",10,5,10,5,35,15,5,15,15,5,15,5,10,10,10,12,15,15,10,25,10,15,30,15,10,10,9,14,10,12,8,19,5,8,8,29
"584",10,15,22,5,15,7,12,20,12,30,20,9,15,17,10,5,9,39,10,20,15,10,25,10,13,10,15,20,10,15,17,20,10,10,15,15
"585",NA,5,30,30,9,13,5,11,9,14,10,45,12,7,10,6,15,18,28,5,32,10,14,16,13,15,20,14,15,10,16,6.9,24,17,46,33
"586",20,15,25,15,10,10,15,15,20,20,9,50,15,10,10,16,15,15,20,0,10,0,15,20,15,10,15,10,10,15,15,15,25,25,5,15
"587",5,15,25,15,10,10,5,5,5,5,10,41,17,0,7,16,16,25,50,8,7,15,15,17,20,5,5,20,10,8,25,5,10,10,5,19
