"","y1980","y1981","y1982","y1983","y1984","y1985","y1986","y1987","y1988","y1989","y1990","y1991","y1992","y1993","y1994","y1995","y1996","y1997","y1998","y1999","y2000","y2001","y2002","y2003","y2004","y2005","y2006","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015"
"1426",0,2,2,2,1,2,0,0.5,0,0,1,0,1,1,0,1,2,0,2,1,2,1.5,1.5,2,1,2,2,1,1,1,2,2,2,4,0,2
"1427",NA,NA,NA,NA,NA,NA,0,0,0,1.5,0.5,0.5,0.5,2,0,0.5,2,1,2,0.5,2,1.5,1.5,1.5,1,0.5,1,1,1,1,1,1,0,2,4,2
"1428",0,1,2,1,0,2,0,2,0,1.5,0.5,0,1,1,0,1,1.5,0,1,1,0.5,1,0,0,0,0,2,0.5,1,0.5,1,0,2,0,0,0
"1429",1,1,1,1,0,0,2,1,0,1,2.5,0,0.5,2,1,2.5,1.5,2.5,1.5,1.5,2,2,1.5,2,1,2,1,1,1,1,1,2,0,4,4,2
"1430",NA,NA,NA,NA,0,0,0,1.5,0,0,0.5,0,1,1,1,1,1,2,2,2,0.5,2,0.5,1.5,0,0.5,0,1.5,1.5,0,2,2,0,4,2,0
"1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0,1,0,0,1.5,1,1,0,1,1.5,0,1.5,0,0,1,1,0,2,0.5,1.5,0,2,2,4,2
"1432",NA,NA,2,1.5,1,2,2,2,0.5,2,0.5,2,0,0,0,0.5,2,2,0.5,1,0.5,1.5,2,1,0,1.5,2.5,0,1,2.5,2,3,0,0,0,0
"1433",NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0.5,0.5,1,NA,2.5,0,2,1,1,0,0.5,1,0.5,1,0,2,1,1,NA,1,0,0,NA,NA
"1434",0,0,1,NA,NA,0,2.5,1,2,2,0.5,2,1.5,2,0,0,1,2.5,2,1.5,1,2,0.5,0,0,0,2,1,2,1,3,0,2,2,4,0
"1435",2,2,0,1,0.5,4,2.5,0,0,1,2,0,1,2,2.5,1,2,1,0.5,2,1,1.5,2,1.5,3.5,0,0.5,1,1.5,1,2,4,3,2,2,0
"1436",1,1,0,1.5,1,0,1,2,0,2,0.5,0,0,0,0,1,2,3,2,1,0,2,0,1,0.5,1.5,0,1.5,1,1,1.5,0,4,0,2,2
"1437",0,1,2,1,1,2,0,0,3,2,2,0,1,1,0,1.5,1,1.5,2,1,2,0.5,0.5,2,2,2,2,1.5,0,0,1.5,4,4,4,4,4
"1438",1.5,1.5,1,0.5,0.5,2,0,1,0,1,0,1,1,0,2,1,2,0,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,2,2,1,0,0,0,4,2
"1439",NA,NA,1.5,1.5,2,NA,2,0.5,0,2.5,2,0,2,2,2,4,3,2.5,NA,NA,1.5,0.5,1,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"1443",0,1,1,0,1,0,1,0,0,2,2,1,3,1,2,2,2,4,1.5,0,NA,2,1,NA,0,0,2,0,1.5,0,0,0,1,0,4,0
"1444",1,2,1,2,1,2,0,0.5,3,NA,NA,NA,NA,0,0,NA,0,2,1.5,0,NA,0,3,1,0,2,1.5,0,2,1,2,4,4,2,4,0
"1445",2,2,0.5,1.5,2,2,1,2,0,0,1.5,0,0,0,0,0,0.5,0,1.5,0,NA,0,1,1,0,1.5,2,0,0,0,1.5,2,4,2,2,0
"1446",2,2,0,0,0,NA,NA,NA,NA,0,1,0.5,1.5,0,0.5,NA,NA,2,1.5,NA,NA,2,1,2,2,2,1,0.5,2,1.5,2,2,1,NA,4,4
"1447",1,1,3,1,2.5,2,1,1.5,NA,0,2,1,2,NA,2,2,NA,1,3.5,2,NA,2,2,2,NA,2,0,3,0,3,2,2,2,0,4,2
"1448",0.5,2,0.5,1,1,0.5,1,1.5,2,0.5,2,0.5,1,2,1,1.5,1.5,1.5,2,0,NA,0,2,2,NA,1,1,1,NA,0,1,4,NA,NA,NA,NA
"1449",2,3,2,0,1,1,1,0.5,2.5,1,1.5,2,1,2,2,0.5,2,1,2,1,NA,1,2,2,1,1,1,1,2,2,1,2,4,2,4,0
"1450",1,2,0,0,0,2,1,0.5,0,2,4,0,0,0.5,0,0,4,1.5,4,0.5,NA,0.5,0,0,0,1.5,0.5,1,1.5,0.5,2,2,2,0,0,4
"1451",0,1,2,0,1,2,0,1.5,1,1,1,2,2,1.5,0,NA,1.5,NA,NA,NA,NA,2,2,1,2,1,1.5,2,2,2,2,4,0,4,0,2
"1452",NA,1.5,3,1.5,2,1.5,2,1.5,2,NA,2,2,2,0,NA,2,3,1.5,1,0,NA,1.5,2,1,2,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1453",1,2,2,1,NA,0,1.5,0,1.5,1.5,2,0,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,2,2,2,2,0.5,2,2,1,2,4,4,4
"1454",1.5,1.5,2,0,2,2,0,0.5,1,1.5,0.5,0,0,3,0,2,2,0,2,1.5,NA,1.5,NA,0,1,0,0,2,2,2,0,0,0,0,4,4
"1455",1.5,0,1,0,1,1.5,0,1,1,0.5,1,0,0,2,1,2,2,0,0,1.5,NA,2,2,0,1.5,1,1.5,2,2,2,2,0,4,2,4,2
"1456",NA,NA,0,1,2,1,0,2,0,0,0.5,2,1.5,2,0,NA,NA,NA,NA,1,NA,2,1,0.5,1,1,2,2,2,1,2,4,4,2,4,4
"1457",1,1,0.5,0,2,1,0,1,0,2,1,0.5,2,1.5,2,1,0.5,2,2.5,2,NA,0,2,1,2,1,0.5,NA,2,1,2,4,0,4,4,4
"1459",NA,NA,NA,NA,NA,2,0,0.5,0,1,2,NA,2,0,0,3,1,1,1,0,NA,1,1,1,0.5,2,2,1,NA,2,2,0,0,4,NA,NA
"1460",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,NA,0,NA,0,NA,1,0,0,NA,NA,NA,NA,2,4,NA,NA,2,NA
"1461",NA,NA,NA,NA,NA,NA,1.5,1,2,1.5,2.5,0.5,1,3,1.5,2,NA,1.5,NA,NA,NA,1.5,1.5,1,3,1.5,3,2,1,1,1,0,4,4,4,0
"1462",1.5,2,2,1,1.5,2,2,2,2,3,2,2,0,2,4,1,NA,NA,NA,NA,NA,0,2,2,0.5,1,1,1.5,0.5,2,NA,NA,NA,NA,NA,NA
